Rotation amount,Type,Time,Date
0.8241666666666667,Food,20:26:48.460147,2021-02-17
+,START,20:21:09.294270,2021-02-17
0.9116666666666666,Run,20:24:59.128134,2021-02-17
0.8241666666666667,Food,20:26:48.460147,2021-02-17
0.6275,Food,20:27:57.527362,2021-02-17
+,START,20:21:09.294270,2021-02-17
0.9116666666666666,Run,20:24:59.128134,2021-02-17
0.8241666666666667,Food,20:26:48.460147,2021-02-17
0.6275,Food,20:27:57.527362,2021-02-17
3.1,Run,20:28:45.363134,2021-02-17
+,START,20:21:09.294270,2021-02-17
0.9116666666666666,Run,20:24:59.128134,2021-02-17
0.8241666666666667,Food,20:26:48.460147,2021-02-17
0.6275,Food,20:27:57.527362,2021-02-17
3.1,Run,20:28:45.363134,2021-02-17
-,END,20:29:01.491522,2021-02-17
