Rotation amount,Type,Time,Date
+,START,16:41:46.669184,2021-02-12
+,START,16:41:46.669184,2021-02-12
0.0008333333333333334,Food,16:42:22.701464,2021-02-12
+,START,16:47:18.037335,2021-02-12
+,START,16:48:45.308792,2021-02-12
+,START,16:48:45.308792,2021-02-12
2.545,Food,16:49:07.261307,2021-02-12
+,START,16:48:45.308792,2021-02-12
2.545,Food,16:49:07.261307,2021-02-12
6.995,Run,16:49:16.975428,2021-02-12
+,START,16:48:45.308792,2021-02-12
2.545,Food,16:49:07.261307,2021-02-12
6.995,Run,16:49:16.975428,2021-02-12
0.605,Food,16:49:33.086036,2021-02-12
+,START,16:48:45.308792,2021-02-12
2.545,Food,16:49:07.261307,2021-02-12
6.995,Run,16:49:16.975428,2021-02-12
0.605,Food,16:49:33.086036,2021-02-12
-,END,16:50:19.769245,2021-02-12
+,START,16:48:45.308792,2021-02-12
2.545,Food,16:49:07.261307,2021-02-12
6.995,Run,16:49:16.975428,2021-02-12
0.605,Food,16:49:33.086036,2021-02-12
-,END,16:50:19.769245,2021-02-12
+,START,16:51:39.883261,2021-02-12
+,START,16:48:45.308792,2021-02-12
2.545,Food,16:49:07.261307,2021-02-12
6.995,Run,16:49:16.975428,2021-02-12
0.605,Food,16:49:33.086036,2021-02-12
-,END,16:50:19.769245,2021-02-12
+,START,16:51:39.883261,2021-02-12
-,END,16:54:43.681257,2021-02-12
+,START,20:04:27.534324,2021-02-12
+,START,20:04:27.534324,2021-02-12
0.8416666666666667,Food,20:04:59.405930,2021-02-12
+,START,20:04:27.534324,2021-02-12
0.8416666666666667,Food,20:04:59.405930,2021-02-12
5.325833333333334,Run,20:05:24.889265,2021-02-12
+,START,20:04:27.534324,2021-02-12
0.8416666666666667,Food,20:04:59.405930,2021-02-12
5.325833333333334,Run,20:05:24.889265,2021-02-12
-,END,20:05:37.737836,2021-02-12
+,START,20:06:37.295035,2021-02-12
+,START,20:06:37.295035,2021-02-12
2.694166666666667,Run,20:07:09.502834,2021-02-12
+,START,20:06:37.295035,2021-02-12
2.694166666666667,Run,20:07:09.502834,2021-02-12
-,END,20:07:23.975607,2021-02-12
+,START,20:06:37.295035,2021-02-12
2.694166666666667,Run,20:07:09.502834,2021-02-12
-,END,20:07:23.975607,2021-02-12
+,START,20:07:55.765968,2021-02-12
+,START,20:06:37.295035,2021-02-12
2.694166666666667,Run,20:07:09.502834,2021-02-12
-,END,20:07:23.975607,2021-02-12
+,START,20:07:55.765968,2021-02-12
0.7491666666666666,Food,20:08:23.353612,2021-02-12
+,START,20:06:37.295035,2021-02-12
2.694166666666667,Run,20:07:09.502834,2021-02-12
-,END,20:07:23.975607,2021-02-12
+,START,20:07:55.765968,2021-02-12
0.7491666666666666,Food,20:08:23.353612,2021-02-12
1.2783333333333333,Run,20:08:33.110359,2021-02-12
+,START,20:06:37.295035,2021-02-12
2.694166666666667,Run,20:07:09.502834,2021-02-12
-,END,20:07:23.975607,2021-02-12
+,START,20:07:55.765968,2021-02-12
0.7491666666666666,Food,20:08:23.353612,2021-02-12
1.2783333333333333,Run,20:08:33.110359,2021-02-12
-,END,20:08:48.810779,2021-02-12
+,START,20:06:37.295035,2021-02-12
2.694166666666667,Run,20:07:09.502834,2021-02-12
-,END,20:07:23.975607,2021-02-12
+,START,20:07:55.765968,2021-02-12
0.7491666666666666,Food,20:08:23.353612,2021-02-12
1.2783333333333333,Run,20:08:33.110359,2021-02-12
-,END,20:08:48.810779,2021-02-12
+,START,20:20:35.538846,2021-02-12
+,START,20:06:37.295035,2021-02-12
2.694166666666667,Run,20:07:09.502834,2021-02-12
-,END,20:07:23.975607,2021-02-12
+,START,20:07:55.765968,2021-02-12
0.7491666666666666,Food,20:08:23.353612,2021-02-12
1.2783333333333333,Run,20:08:33.110359,2021-02-12
-,END,20:08:48.810779,2021-02-12
+,START,20:20:35.538846,2021-02-12
0.0008333333333333334,Run,20:20:54.944055,2021-02-12
+,START,20:21:25.587097,2021-02-12
+,START,20:21:25.587097,2021-02-12
0.585,Run,20:21:45.421504,2021-02-12
+,START,20:21:25.587097,2021-02-12
0.585,Run,20:21:45.421504,2021-02-12
0.6266666666666667,Food,20:21:52.215264,2021-02-12
+,START,20:21:25.587097,2021-02-12
0.585,Run,20:21:45.421504,2021-02-12
0.6266666666666667,Food,20:21:52.215264,2021-02-12
-,END,20:22:07.554758,2021-02-12
