Rotation,Type,Date_Time
0.5775,Food_log,2021-03-04 17:55:52.627966
*,BB3,2021-03-04 17:55:54.309361
0.6792,Run_log,2021-03-04 17:56:19.966410
*,BB5,2021-03-04 17:56:33.299303
-,END,2021-03-04 17:56:48.337630
+,Session start,2021-03-04 17:57:21.949289
*,BB2,2021-03-04 17:57:39.820888
*,BB4,2021-03-04 17:57:41.821815
0.7208,Food_log,2021-03-04 17:59:04.452357
*,BB3,2021-03-04 17:59:13.805930
2.1133,Run_log,2021-03-04 18:02:49.910850
*,BB4,2021-03-04 18:02:54.109916
0.5067,Food_log,2021-03-04 18:06:42.524010
*,BB4,2021-03-04 18:07:00.052433
0.5975,Food_log,2021-03-04 18:08:18.391732
*,BB3,2021-03-04 18:08:41.280413
0.5208,Run_log,2021-03-04 18:08:46.979415
*,BB4,2021-03-04 18:09:05.281311
0.6617,Food_log,2021-03-04 18:09:42.097249
*,BB4,2021-03-04 18:09:55.398530
0.525,Food_log,2021-03-04 18:10:12.766517
*,BB3,2021-03-04 18:10:14.764156
0.6775,Run_log,2021-03-04 18:10:24.895031
*,BB4,2021-03-04 18:10:28.170783
0.6267,Food_log,2021-03-04 18:11:19.136353
*,BB3,2021-03-04 18:11:20.758841
1.275,Run_log,2021-03-04 18:11:32.823865
*,BB5,2021-03-04 18:11:51.799902
-,END,2021-03-04 18:12:06.837445
+,Session start,2021-03-04 18:12:09.409300
*,BB2,2021-03-04 18:12:26.591055
*,BB3,2021-03-04 18:12:27.428823
0.9942,Run_log,2021-03-04 18:13:51.502028
*,BB4,2021-03-04 18:14:44.249383
0.5183,Food_log,2021-03-04 18:15:27.076678
*,BB3,2021-03-04 18:15:34.726107
0.9567,Run_log,2021-03-04 18:16:58.401069
*,BB4,2021-03-04 18:17:09.962821
0.4967,Food_log,2021-03-04 18:17:12.707867
*,BB3,2021-03-04 18:18:00.285102
3.1675,Run_log,2021-03-04 18:25:22.340038
*,BB4,2021-03-04 18:25:27.273984
0.6175,Food_log,2021-03-04 18:27:48.790275
*,BB4,2021-03-04 18:28:04.459298
0.6025,Food_log,2021-03-04 18:29:09.393537
*,BB3,2021-03-04 18:29:34.814075
0.6742,Run_log,2021-03-04 18:30:10.878830
*,BB4,2021-03-04 18:30:14.061506
0.5217,Food_log,2021-03-04 18:30:27.784358
*,BB3,2021-03-04 18:30:29.523568
1.92,Run_log,2021-03-04 18:31:35.430900
*,BB3,2021-03-04 18:32:12.440388
0.9275,Run_log,2021-03-04 18:33:14.939587
*,BB4,2021-03-04 18:33:58.338763
0.5325,Food_log,2021-03-04 18:34:27.836773
*,BB3,2021-03-04 18:34:34.372548
0.7308,Run_log,2021-03-04 18:34:56.306412
*,BB5,2021-03-04 18:35:35.891359
-,END,2021-03-04 18:35:50.929899
+,Session start,2021-03-04 18:36:32.619236
*,BB2,2021-03-04 18:37:04.965198
*,BB4,2021-03-04 18:37:06.220755
0.5558,Food_log,2021-03-04 18:38:31.188838
*,BB4,2021-03-04 18:38:40.801683
0.6667,Food_log,2021-03-04 18:40:09.049391
*,BB3,2021-03-04 18:40:39.188056
0.4658,Run_log,2021-03-04 18:40:52.543939
*,BB5,2021-03-04 18:41:25.880834
-,END,2021-03-04 18:41:40.919281
+,Session start,2021-03-04 18:42:06.514113
*,BB2,2021-03-04 18:42:30.571700
*,BB4,2021-03-04 18:42:31.805368
0.585,Food_log,2021-03-04 18:42:39.303766
*,BB3,2021-03-04 18:42:43.928376
2.29,Run_log,2021-03-04 18:46:40.432426
*,BB3,2021-03-04 18:47:40.716333
0.6383,Run_log,2021-03-04 18:49:58.016913
*,BB4,2021-03-04 18:50:03.587722
0.0,Food_log,2021-03-04 18:51:56.817047
*,BB3,2021-03-04 18:52:05.460295
0.6367,Run_log,2021-03-04 18:54:47.269600
*,BB4,2021-03-04 18:54:51.210015
0.0,Food_log,2021-03-04 18:54:52.962250
*,BB4,2021-03-04 18:55:09.393869
0.0,Food_log,2021-03-04 18:55:54.129526
*,BB3,2021-03-04 18:55:55.180587
0.22,Run_log,2021-03-04 18:56:33.756236
*,BB4,2021-03-04 18:56:45.883294
0.0,Food_log,2021-03-04 18:56:55.729269
*,BB3,2021-03-04 18:56:57.071372
0.0833,Run_log,2021-03-04 18:57:35.795273
*,BB4,2021-03-04 18:57:47.492911
0.0,Food_log,2021-03-04 18:59:41.084779
*,BB3,2021-03-04 18:59:58.774606
0.0,Run_log,2021-03-04 19:00:40.064239
*,BB4,2021-03-04 19:00:53.018342
0.0,Food_log,2021-03-04 19:01:04.653241
*,BB3,2021-03-04 19:01:19.265148
1.6017,Run_log,2021-03-04 19:03:29.209640
*,BB3,2021-03-04 19:04:00.675217
0.6608,Run_log,2021-03-04 19:04:07.003666
*,BB3,2021-03-04 19:04:16.055762
2.025,Run_log,2021-03-04 19:05:18.790181
*,BB4,2021-03-04 19:05:22.930677
0.5517,Food_log,2021-03-04 19:07:17.762814
*,BB3,2021-03-04 19:07:24.279358
1.62,Run_log,2021-03-04 19:08:22.009352
*,BB4,2021-03-04 19:08:30.278170
0.5925,Food_log,2021-03-04 19:08:41.991596
*,BB4,2021-03-04 19:08:46.845176
0.5383,Food_log,2021-03-04 19:10:08.433335
*,BB3,2021-03-04 19:10:31.537491
0.595,Run_log,2021-03-04 19:14:07.604115
*,BB4,2021-03-04 19:14:08.728308
0.0017,Food_log,2021-03-04 19:14:12.898855
*,BB5,2021-03-04 19:15:04.662789
