Rotation,Type,Date_Time
0.3958,Run,2021-03-02 12:42:49.909088
*,EXIT,2021-03-02 12:43:40.020929
-,END,2021-03-02 12:43:55.058344
+,Session start,2021-03-02 12:43:57.111892
*,BB2,2021-03-02 12:44:12.638936
*,BB5,2021-03-02 12:44:36.450014
*,BB2,2021-03-02 12:44:42.927254
0.4892,Run,2021-03-02 12:44:42.963106
*,BB5,2021-03-02 12:45:46.541732
*,BB2,2021-03-02 12:46:08.314377
0.4733,Run,2021-03-02 12:46:08.336972
*,EXIT,2021-03-02 12:51:31.819861
-,END,2021-03-02 12:51:46.867018
+,Session start,2021-03-02 12:51:49.217518
*,BB2,2021-03-02 12:52:44.949302
*,EXIT,2021-03-02 12:55:24.836497
-,END,2021-03-02 12:55:39.877998
+,Session start,2021-03-02 12:55:42.450596
*,BB2,2021-03-02 12:56:33.999167
*,EXIT,2021-03-02 12:59:19.474745
-,END,2021-03-02 12:59:34.520079
+,Session start,2021-03-02 12:59:47.146297
*,EXIT,2021-03-02 13:00:10.908385
-,END,2021-03-02 13:00:25.944224
+,Session start,2021-03-02 13:00:50.037938
*,BB2,2021-03-02 13:01:10.552318
*,EXIT,2021-03-02 13:01:40.632691
-,END,2021-03-02 13:01:55.684954
+,Session start,2021-03-02 13:01:57.852544
*,EXIT,2021-03-02 13:02:42.289119
-,END,2021-03-02 13:02:57.325997
+,Session start,2021-03-02 13:03:19.502403
*,BB2,2021-03-02 13:04:02.985425
*,EXIT,2021-03-02 13:04:13.510647
-,END,2021-03-02 13:04:28.557242
+,Session start,2021-03-02 13:04:32.538298
*,BB2,2021-03-02 13:05:19.901966
*,EXIT,2021-03-02 13:05:36.524007
-,END,2021-03-02 13:05:51.553235
+,Session start,2021-03-02 13:06:08.092744
*,BB2,2021-03-02 13:06:44.181705
*,BB5,2021-03-02 13:06:45.234263
*,BB2,2021-03-02 13:06:50.479245
0.435,Run,2021-03-02 13:06:50.502012
*,BB5,2021-03-02 13:06:54.884987
