Date_Time,Rotation,Pellet_Retrieval,Type,Wheel_Position,FED_Position
2021-03-08 15:08:18.304973,+,,START,Left,Right
2021-03-08 15:08:25.543601,+,,Session start,Left,Right
2021-03-08 15:09:26.905376,*,,BB2,Left,Right
2021-03-08 15:09:28.937024,*,,BB3,Left,Right
2021-03-08 15:09:46.391899,0.5358,,Run_log,Left,Right
2021-03-08 15:10:04.838055,*,,BB5,Left,Right
2021-03-08 15:10:19.880269,-,,END,Left,Right
2021-03-08 15:10:41.540896,+,,START,Left,Right
2021-03-08 15:10:46.165179,+,,Session start,Left,Right
2021-03-08 15:11:12.031567,*,,BB2,Left,Right
2021-03-08 15:11:15.895049,*,,BB4,Left,Right
2021-03-08 15:11:21.881757,0.4675,,Food_log,Left,Right
2021-03-08 15:11:23.098644,*,,BB3,Left,Right
2021-03-08 15:12:03.998274,3.1308,,Run_log,Left,Right
2021-03-08 15:12:10.401051,*,,BB3,Left,Right
2021-03-08 15:12:15.925266,0.5217,,Run_log,Left,Right
2021-03-08 15:12:32.442995,*,,BB3,Left,Right
2021-03-08 15:13:03.565515,0.655,,Run_log,Left,Right
2021-03-08 15:13:15.532577,*,,BB3,Left,Right
2021-03-08 15:13:37.647301,0.5792,,Run_log,Left,Right
2021-03-08 15:14:07.753115,*,,BB3,Left,Right
2021-03-08 15:14:15.578991,0.5867,,Run_log,Left,Right
2021-03-08 15:14:19.543759,*,,BB4,Left,Right
2021-03-08 15:15:16.948310,0.5517,,Food_log,Left,Right
2021-03-08 15:15:18.876308,*,,BB3,Left,Right
2021-03-08 15:15:33.186854,0.5483,,Run_log,Left,Right
2021-03-08 15:15:49.882139,*,,BB3,Left,Right
2021-03-08 15:16:44.864979,4.73,,Run_log,Left,Right
2021-03-08 15:16:45.954466,*,,BB3,Left,Right
2021-03-08 15:17:07.896643,0.4633,,Run_log,Left,Right
2021-03-08 15:17:43.477483,*,,BB5,Left,Right
2021-03-08 15:17:58.516971,-,,END,Left,Right
2021-03-08 15:18:40.977319,+,,START,Left,Right
2021-03-08 15:18:45.299703,+,,Session start,Left,Right
2021-03-08 15:19:03.456982,*,,BB2,Left,Right
2021-03-08 15:19:12.457312,*,,BB4,Left,Right
2021-03-08 15:20:07.130287,0.64,,Food_log,Left,Right
2021-03-08 15:20:08.699184,*,,BB3,Left,Right
2021-03-08 15:21:48.100589,10.0483,,Run_log,Left,Right
2021-03-08 15:21:50.461363,*,,BB3,Left,Right
2021-03-08 15:22:50.613223,5.28,,Run_log,Left,Right
2021-03-08 15:23:12.009528,*,,BB4,Left,Right
2021-03-08 15:23:16.393624,0.4192,,Food_log,Left,Right
2021-03-08 15:23:21.951071,*,,BB3,Left,Right
2021-03-08 15:24:02.683426,7.5225,,Run_log,Left,Right
2021-03-08 15:24:20.764800,*,,BB5,Left,Right
2021-03-08 15:24:35.798742,-,,END,Left,Right
2021-03-08 15:24:38.311177,+,,START,Left,Right
2021-03-08 15:24:42.834921,+,,Session start,Left,Right
2021-03-08 15:25:04.126981,*,,BB2,Left,Right
2021-03-08 15:25:06.777603,*,,BB4,Left,Right
2021-03-08 15:27:03.180637,0.4917,,Food_log,Left,Right
2021-03-08 15:27:13.357401,*,,BB3,Left,Right
2021-03-08 15:27:23.179934,0.5367,,Run_log,Left,Right
2021-03-08 15:27:24.664879,*,,BB3,Left,Right
2021-03-08 15:28:37.077746,1.4967,,Run_log,Left,Right
2021-03-08 15:29:07.432362,*,,BB4,Left,Right
2021-03-08 15:29:39.105890,0.5592,,Food_log,Left,Right
2021-03-08 15:30:01.264641,*,,BB3,Left,Right
2021-03-08 15:31:30.321662,14.3225,,Run_log,Left,Right
2021-03-08 15:31:37.233031,*,,BB4,Left,Right
2021-03-08 15:31:42.458385,0.4833,,Food_log,Left,Right
2021-03-08 15:31:44.632999,*,,BB3,Left,Right
2021-03-08 15:31:49.333222,0.3842,,Run_log,Left,Right
2021-03-08 15:31:58.673955,*,,BB5,Left,Right
2021-03-08 15:32:13.711825,-,,END,Left,Right
2021-03-08 15:32:28.519709,+,,START,Left,Right
2021-03-08 15:32:33.747273,+,,Session start,Left,Right
2021-03-08 15:32:53.515795,*,,BB2,Left,Right
2021-03-08 15:32:55.062360,*,,BB3,Left,Right
2021-03-08 15:35:10.827762,1.9067,,Run_log,Left,Right
2021-03-08 15:35:15.660546,*,,BB4,Left,Right
2021-03-08 15:37:29.278082,0.5408,,Food_log,Left,Right
2021-03-08 15:37:34.747181,*,,BB3,Left,Right
2021-03-08 15:39:17.511185,0.4392,,Run_log,Left,Right
2021-03-08 15:39:42.550288,*,,BB3,Left,Right
2021-03-08 15:40:07.794889,3.9742,,Run_log,Left,Right
2021-03-08 15:40:10.939507,*,,BB4,Left,Right
2021-03-08 15:40:23.930411,0.42,,Food_log,Left,Right
2021-03-08 15:40:36.254458,*,,BB3,Left,Right
2021-03-08 15:40:45.140639,2.6475,,Run_log,Left,Right
2021-03-08 15:41:03.021552,*,,BB5,Left,Right
2021-03-08 15:41:18.063173,-,,END,Left,Right
2021-03-08 15:41:21.867284,+,,START,Left,Right
2021-03-08 15:41:29.206724,+,,Session start,Left,Right
2021-03-08 15:41:47.881753,*,,BB2,Left,Right
2021-03-08 15:41:49.097644,*,,BB3,Left,Right
2021-03-08 15:42:12.959971,7.2758,,Run_log,Left,Right
2021-03-08 15:42:32.289838,*,,BB5,Left,Right
2021-03-08 15:42:47.336297,-,,END,Left,Right
2021-03-08 15:43:15.994814,+,,START,Left,Right
2021-03-08 15:43:21.021244,+,,Session start,Left,Right
2021-03-08 15:43:38.181935,*,,BB2,Left,Right
2021-03-08 15:43:39.480614,*,,BB4,Left,Right
2021-03-08 15:44:04.357388,0.4367,,Food_log,Left,Right
2021-03-08 15:44:47.324308,*,,BB3,Left,Right
2021-03-08 15:45:25.735042,0.2992,,Run_log,Left,Right
2021-03-08 15:45:34.683693,*,,BB4,Left,Right
2021-03-08 15:45:47.760885,0.4275,,Food_log,Left,Right
2021-03-08 15:45:51.635913,*,,BB4,Left,Right
2021-03-08 15:46:03.062445,0.385,,Food_log,Left,Right
2021-03-08 15:46:06.633341,*,,BB3,Left,Right
2021-03-08 15:46:22.241005,0.4192,,Run_log,Left,Right
2021-03-08 15:46:40.535668,*,,BB5,Left,Right
2021-03-08 15:46:55.580121,-,,END,Left,Right
2021-03-08 15:46:59.655853,+,,START,Left,Right
2021-03-08 15:47:31.933661,+,,Session start,Left,Right
2021-03-08 15:47:50.997634,*,,BB2,Left,Right
2021-03-08 15:47:51.643378,*,,BB3,Left,Right
2021-03-08 15:48:10.308541,0.4817,,Run_log,Left,Right
2021-03-08 15:48:11.669407,*,,BB3,Left,Right
2021-03-08 15:49:28.933673,7.7525,,Run_log,Left,Right
2021-03-08 15:50:04.041474,*,,BB3,Left,Right
2021-03-08 15:50:33.764753,2.6758,,Run_log,Left,Right
2021-03-08 15:50:36.261165,*,,BB4,Left,Right
2021-03-08 15:51:30.311050,0.4908,,Food_log,Left,Right
2021-03-08 15:51:33.373111,*,,BB4,Left,Right
2021-03-08 15:53:48.763819,0.5625,,Food_log,Left,Right
2021-03-08 15:54:10.912449,*,,BB5,Left,Right
2021-03-08 15:54:25.942592,-,,END,Left,Right
2021-03-08 15:55:00.955625,+,,START,Left,Right
2021-03-08 15:55:03.367676,+,,Session start,Left,Right
2021-03-08 15:55:20.885203,*,,BB2,Left,Right
2021-03-08 15:55:22.242074,*,,BB3,Left,Right
2021-03-08 15:55:29.545262,2.8125,,Run_log,Left,Right
2021-03-08 15:55:31.493015,*,,BB4,Left,Right
2021-03-08 15:56:28.092924,0.4967,,Food_log,Left,Right
2021-03-08 15:56:36.472209,*,,BB3,Left,Right
2021-03-08 15:56:57.068220,0.4883,,Run_log,Left,Right
2021-03-08 15:57:23.853514,*,,BB5,Left,Right
2021-03-08 15:57:38.891300,-,,END,Left,Right
2021-03-08 15:57:50.826752,+,,START,Left,Right
2021-03-08 15:57:53.540245,+,,Session start,Left,Right
2021-03-08 15:58:14.746915,*,,BB2,Left,Right
2021-03-08 15:58:18.222941,*,,BB4,Left,Right
2021-03-08 15:59:18.511171,0.5533,,Food_log,Left,Right
2021-03-08 15:59:23.359158,*,,BB4,Left,Right
2021-03-08 15:59:41.039119,0.42,,Food_log,Left,Right
2021-03-08 15:59:46.249198,*,,BB3,Left,Right
2021-03-08 15:59:50.189795,0.5175,,Run_log,Left,Right
2021-03-08 15:59:52.396901,*,,BB4,Left,Right
2021-03-08 15:59:57.035717,0.4433,,Food_log,Left,Right
2021-03-08 16:00:12.451089,*,,BB5,Left,Right
2021-03-08 16:00:27.489066,-,,END,Left,Right
2021-03-08 16:00:39.915129,+,,START,Left,Right
2021-03-08 16:00:42.728516,+,,Session start,Left,Right
2021-03-08 16:01:00.949205,*,,BB2,Left,Right
2021-03-08 16:01:01.838070,*,,BB3,Left,Right
2021-03-08 16:01:29.887490,13.8208,,Run_log,Left,Right
2021-03-08 16:01:31.425113,*,,BB4,Left,Right
2021-03-08 16:02:09.007253,0.4625,,Food_log,Left,Right
2021-03-08 16:02:26.755190,*,,BB5,Left,Right
2021-03-08 16:02:41.782415,-,,END,Left,Right
2021-03-08 16:03:06.261835,+,,START,Left,Right
2021-03-08 16:03:09.779166,+,,Session start,Left,Right
2021-03-08 16:03:25.129713,*,,BB2,Left,Right
2021-03-08 16:03:26.272019,*,,BB3,Left,Right
2021-03-08 16:04:48.600637,1.2975,,Run_log,Left,Right
2021-03-08 16:07:04.366042,*,,BB5,Left,Right
2021-03-08 16:07:19.404392,-,,END,Left,Right
2021-03-08 16:07:21.110215,+,,START,Left,Right
2021-03-08 16:07:24.729014,+,,Session start,Left,Right
2021-03-08 16:07:40.244838,*,,BB2,Left,Right
2021-03-08 16:07:41.788930,*,,BB4,Left,Right
2021-03-08 16:08:11.800826,0.5367,,Food_log,Left,Right
2021-03-08 16:08:36.390998,*,,BB3,Left,Right
2021-03-08 16:09:00.207631,0.555,,Run_log,Left,Right
2021-03-08 16:09:09.640228,*,,BB3,Left,Right
2021-03-08 16:10:00.584548,12.7233,,Run_log,Left,Right
2021-03-08 16:10:14.922077,*,,BB5,Left,Right
2021-03-08 16:10:29.952398,-,,END,Left,Right
2021-03-08 16:10:31.215291,+,,START,Left,Right
2021-03-08 16:10:34.631498,+,,Session start,Left,Right
2021-03-08 16:10:57.436676,*,,BB2,Left,Right
2021-03-08 16:10:58.571473,*,,BB4,Left,Right
2021-03-08 16:11:10.103157,0.5142,,Food_log,Left,Right
2021-03-08 16:11:35.011494,*,,BB5,Left,Right
2021-03-08 16:11:50.042496,-,,END,Left,Right
2021-03-08 16:12:11.212443,+,,START,Left,Right
2021-03-08 16:12:45.702399,+,,Session start,Left,Right
2021-03-08 16:13:01.806551,*,,BB2,Left,Right
2021-03-08 16:13:02.745355,*,,BB3,Left,Right
2021-03-08 16:15:13.130094,0.4125,,Run_log,Left,Right
2021-03-08 16:15:15.716300,*,,BB4,Left,Right
2021-03-08 16:15:40.709374,0.4683,,Food_log,Left,Right
2021-03-08 16:15:53.380630,*,,BB5,Left,Right
2021-03-08 16:16:08.421881,-,,END,Left,Right
2021-03-08 16:16:59.300152,+,,START,Left,Right
2021-03-08 16:17:01.510580,+,,Session start,Left,Right
2021-03-08 16:17:24.793863,*,,BB2,Left,Right
2021-03-08 16:17:25.717202,*,,BB4,Left,Right
2021-03-08 16:18:34.489116,0.5675,,Food_log,Left,Right
2021-03-08 16:18:38.690717,*,,BB4,Left,Right
2021-03-08 16:18:54.637904,0.4367,,Food_log,Left,Right
